economy;economycode;female;age;educ;inc_q;emp_in;urbanicity;dig_account;borrowed;saved;fin2;anydigpayment;fin45;internet_use
Saudi Arabia;SAU;2;39;2;2;1;1;1;1;1;1;1;4;1
Saudi Arabia;SAU;1;37;2;2;2;1;1;1;1;1;1;3;1
Saudi Arabia;SAU;1;40;2;2;1;2;1;1;0;1;1;8;1
Saudi Arabia;SAU;2;28;3;2;2;2;0;1;0;2;0;4;1
Saudi Arabia;SAU;2;29;3;4;1;2;1;0;1;1;1;6;1
Saudi Arabia;SAU;2;33;2;1;1;2;1;0;0;1;1;2;1
Saudi Arabia;SAU;2;19;2;5;1;2;1;1;1;1;1;2;1
Saudi Arabia;SAU;2;16;2;1;2;2;1;1;1;1;1;2;1
Saudi Arabia;SAU;2;25;2;2;2;2;1;0;0;1;1;4;1
Saudi Arabia;SAU;1;37;3;5;1;1;1;1;1;1;1;4;1
Saudi Arabia;SAU;1;25;3;5;1;2;1;1;1;1;1;4;1
Saudi Arabia;SAU;1;27;3;1;2;2;0;0;0;2;0;4;1
Saudi Arabia;SAU;2;19;2;1;2;2;1;1;1;1;1;1;1
Saudi Arabia;SAU;2;40;3;5;1;2;1;1;1;1;1;4;1
Saudi Arabia;SAU;2;31;2;3;1;2;1;1;1;1;1;3;1
Saudi Arabia;SAU;1;22;2;4;2;1;1;1;0;1;1;1;1
Saudi Arabia;SAU;1;30;2;4;1;2;1;1;1;1;1;1;1
Saudi Arabia;SAU;2;50;3;1;1;2;0;0;0;2;0;3;1
Saudi Arabia;SAU;1;50;2;1;1;1;0;0;1;2;0;4;1
Saudi Arabia;SAU;1;39;2;2;2;2;1;0;0;2;1;5;1
Saudi Arabia;SAU;2;26;3;4;1;2;1;1;1;1;1;2;1
Saudi Arabia;SAU;2;24;2;1;1;2;1;0;0;1;1;3;1
Saudi Arabia;SAU;2;36;2;2;1;1;1;0;1;1;1;3;1
Saudi Arabia;SAU;1;25;2;5;2;2;1;0;0;1;1;3;1
Saudi Arabia;SAU;2;34;2;4;1;2;1;0;0;1;1;4;1
Saudi Arabia;SAU;2;18;2;2;1;2;0;1;0;2;0;6;1
Saudi Arabia;SAU;1;32;3;5;2;1;1;1;0;1;1;1;1
Saudi Arabia;SAU;2;29;2;3;1;2;0;1;1;1;0;4;1
Saudi Arabia;SAU;1;35;3;5;1;2;0;1;0;2;0;4;1
Saudi Arabia;SAU;2;35;3;3;1;1;0;0;0;2;0;2;1
Saudi Arabia;SAU;2;65;3;3;1;2;0;0;0;2;0;1;1
Saudi Arabia;SAU;1;22;2;4;1;2;1;1;0;1;1;4;1
Saudi Arabia;SAU;1;27;2;5;1;2;0;1;0;2;1;1;1
Saudi Arabia;SAU;1;32;3;3;2;2;1;0;1;1;1;5;1
Saudi Arabia;SAU;1;22;2;2;1;2;1;1;1;1;1;6;1
Saudi Arabia;SAU;2;21;3;1;2;2;1;0;0;1;1;7;1
Saudi Arabia;SAU;2;26;2;3;1;2;1;1;1;1;1;4;1
Saudi Arabia;SAU;1;45;3;5;2;2;1;1;1;1;1;2;1
Saudi Arabia;SAU;2;35;3;3;2;2;1;0;1;1;1;1;1
Saudi Arabia;SAU;1;40;1;2;2;2;1;1;0;1;1;4;1
